cob_urb,precip,elev,hund,pob,viv_s_a,ocupantes,ingreso
100,730.375,2268,0,3855,115,3.2892,0.865744255614019
100,737.7,2272,0,6910,300,3.1567,0.861873027602911
96.55,734.8620689655,2269,0,5853,310,3.0342,0.861478879377943
100,730,2297,0,5586,103,3.7897,0.644294852852823
100,709.0454545455,2270,0,1714,49,3.8089,0.696803966811393
3.85,808.6682692308,2331,0,0,0,0,0
20.38,771.4203821656,2291,0,1179,102,2.5855,0.856637578428314
0,827.51,2353,0,0,0,0,0
39.82,792.8495575221,2320,0,2596,76,3.5081,0.715972690503882
0.31,892.9345794393,2422,0,2259,118,3.3172,0.960027305807037
50.72,893.2355072464,2428,0,6229,323,3.3221,0.917035523620162
1.78,860.8165680473,2369,0,225,26,2.9605,0.956694284992969
53.85,780.5641025641,2288,0,4499,118,3.0154,0.936123496484184
53.33,755.0666666667,2269,0,2914,175,2.9979,0.925892596564728
100,727.5675675676,2350,0,5966,177,3.5682,0.68870911098481
100,735,2350,0,2242,47,3.7872,0.671872137283806
100,710.5135135135,2283,0,4828,321,3.048,0.831935105185327
100,707.3409090909,2286,0,7146,178,3.7045,0.606542512295871
100,701.96875,2273,0,5320,134,3.7255,0.732506887354594
100,737.6666666667,2390,0,1050,47,3.2209,0.795061591220536
100,752.1666666667,2389,0,960,46,3.2877,0.803473842861461
100,732.75,2347,0,1690,45,3.5805,0.733998031617511
100,728,2374,0,1257,44,3.3079,0.808741629897211
100,728,2364,0,1200,35,3.352,0.777988354029411
100,723.4333333333,2300,0,5272,53,4.0152,0.599552984718617
100,739.6,2387,0,821,30,3.351,0.77623889669674
0,881.753164557,2409,0,935,59,3.1063,0.946060620204797
0,918.6033755274,2411,0,3257,181,3.212,0.956398164780201
0,859.4345238095,2388,0,1970,72,3.5818,0.948960204076726
100,742,2271,0,778,30,3.2552,0.931041703256342
100,710.4761904762,2286,0.042,3792,70,3.6011,0.606570612727374
100,703.75,2286,0.117,747,26,3.5742,0.747079645096503
87.23,725.170212766,2289,0.046,6486,164,3.9525,0.580328037764874
0.78,788.3875968992,2329,0,1459,40,3.6203,0.701473532446744
100,735.7096774194,2345,0,3374,119,3.4429,0.708261701525361
11.36,816.1363636364,2322,0,1743,74,3.2887,0.839381773767457
8.16,860.0612244898,2329,0,229,8,3.0946,0.790504070625697
100,712.6358024691,2265,0,5030,250,2.9092,0.902356249760428
86.05,740.7906976744,2282,0,7817,413,3.1776,0.723290020751442
100,751.6857142857,2291,0,6971,96,3.7438,0.712163652154497
25.98,766.5588235294,2281,0,9634,192,4.0075,0.643644249659703
100,725.5714285714,2366,0,2905,36,3.6541,0.641946390287616
100,764.4117647059,2361,0,3170,57,3.7604,0.598493664091394
100,730.0526315789,2315,0,4313,177,3.4149,0.702186118653724
100,728,2299,0,4012,136,3.0075,0.943523588347118
100,714.4166666667,2317,0,3141,159,2.9273,0.84625676453681
100,720.2,2305,0,4308,134,3.156,0.888494376720222
100,709.1707317073,2280,0,6782,97,3.8208,0.571457791824769
100,709.3148148148,2280,0,10364,410,3.6896,0.694655056016629
100,721.8518518519,2311,0,6336,58,3.7963,0.633030595597038
100,715.8333333333,2283,0,4303,155,2.8879,0.876521648792899
100,709.1111111111,2284,0,5112,71,3.6593,0.692114734650207
100,751.9818181818,2299,0,3009,71,3.4154,0.822482536801033
100,759.6571428571,2303,0,2628,51,3.4534,0.859773011363447
62.5,765.2,2309,0,4158,257,2.8209,0.911156113265918
97.37,753.2105263158,2286,0,3580,157,2.9958,0.931198048117453
100,735.52,2276,0,2237,109,2.9668,0.854804677706337
100,724.8571428571,2281,0,4048,231,3.0995,0.809317241682723
100,718.6756756757,2288,0.068,3774,280,2.7588,0.877529414609653
100,725.4,2298,0,2182,109,3.5194,0.773322916976506
100,734.0909090909,2323,0,4360,80,3.7425,0.567218672819335
100,742.275862069,2317,0,6055,93,3.7797,0.621762714424793
100,750.4347826087,2364,0.094,3289,92,4.0405,0.632576377484262
100,748.4482758621,2343,0,5003,90,3.9738,0.588620604257786
96.67,754.5,2341,0,3668,71,3.7467,0.636954061953001
95.83,733.8333333333,2320,0,3199,81,4.1927,0.61572310036156
20.91,788.3454545455,2312,0,3168,146,2.717,0.92251341939439
9.26,778.9148148148,2292,0,3549,188,3.0568,0.88182873057144
100,729.7,2349,0,3117,65,3.6371,0.623320628830757
100,728,2367,0,3979,102,3.5337,0.695146778623731
100,735,2332,0,2577,56,3.7786,0.680345224810296
39.66,740.2586206897,2306,0,3714,292,2.9016,0.833525363767915
100,729.8148148148,2304,0,2047,167,2.546,0.935109099127132
100,737.2857142857,2333,0,6118,120,3.8118,0.614165645989092
100,735.8085106383,2314,0,5113,86,3.856,0.597387937325198
100,729.5,2310,0,4369,90,3.712,0.723516867846945
100,730.8695652174,2268,0,5882,176,3.5476,0.726557379339634
100,728.5172413793,2280,0,7422,355,3.2553,0.742431293933856
100,740.7777777778,2345,0,3864,46,3.9348,0.612363185232653
100,734.3333333333,2311,0,5019,85,3.6291,0.650269708091088
100,709.9090909091,2287,0,5862,170,3.3767,0.729538920648639
100,713,2287,0,4552,255,3.5562,0.640331550523522
100,720.2,2306,0.005,6302,129,3.8403,0.630191081575995
100,722.75,2301,0,5583,119,3.9484,0.652673163641585
100,715.6170212766,2287,0,4963,103,3.8413,0.6552817181816
100,711.03125,2314,0.018,6140,116,3.7055,0.59694687100933
100,710.5479452055,2263,0,3384,93,3.4251,0.833224144640497
100,712.8771929825,2277,0,9279,184,3.8327,0.675890991311924
100,756.78125,2343,0,5864,109,3.5844,0.56514972718388
100,742.1136363636,2323,0.004,6790,199,3.5718,0.569368661905775
100,745.3125,2344,0.019,4847,128,3.4498,0.633950576521693
100,736.72,2337,0.043,4163,93,3.655,0.665247076145401
100,758.6071428571,2358,0,4306,142,3.6307,0.590581386097395
100,768.2608695652,2369,0,3667,54,3.9094,0.56825781090698
100,706.1111111111,2291,0.063,1551,294,1.8442,0.807816104168542
100,710,2292,0,1980,404,1.8786,0.796568019903904
