cob_urb,precip,elev,hund,pob,viv_s_a,ocupantes,ingreso
100,669,2288,0,53,11,4.8182,0
100,669,2303,0,35,6,5.8333,0
100,759,2283,0,3155,285,2.7651,0.81845321747796
100,814.92,2286,0,3863,120,3.1053,0.910685629634763
100,755.6666666667,2257,0,3827,266,2.9191,0.824024454553803
97.3,778.9459459459,2254,0,7381,227,3.6667,0.696395398080877
100,856.2580645161,2317,0,3388,89,3.4928,0.840229554180232
100,795.393442623,2266,0,3733,290,2.8345,0.849260356996981
100,769.9090909091,2265,0,4129,292,2.9139,0.7945946842767
100,766.637037037,2256,0,3227,158,3.32,0.764041640665433
100,788.2545454545,2285,0,4384,211,3.2888,0.760215196095028
100,791.5098039216,2252,0,12738,547,3.2396,0.613521904561298
100,838.1,2312,0,6094,166,3.6017,0.639987211090475
100,809.7435897436,2280,0,6261,422,2.8039,0.673713522644546
100,809.8720930233,2260,0,1480,223,2.2595,0.834003442265396
100,843.03125,2290,0,10591,162,3.7201,0.59872474608451
100,810.5,2279,0,7119,253,3.4761,0.594518822729797
100,805.9444444444,2278,0,11085,529,3.159,0.585777787177052
100,822,2293,0,6721,171,3.3791,0.559168267572324
100,840.1219512195,2318,0,1297,44,3.7813,0.959347946042063
100,837,2313,0,1956,120,2.6255,0.861571767706094
100,849.8504672897,2302,0,6230,293,3.1883,0.896244937846871
100,865.88,2320,0,7991,296,3.4355,0.794934019254739
61.48,809.6296296296,2298,0,6715,329,2.8944,0.90411240764847
100,770.3692307692,2299,0,6290,439,3.1403,0.733306102648221
0,795.8292682927,2313,0,4313,165,3.7085,0.640501646098448
100,781.5208333333,2280,0,2564,89,3.3473,0.819362641297026
33.33,800.962962963,2291,0,6981,194,3.794,0.649352924344922
100,802,2323,0,1313,58,2.9572,0.902544778940278
100,790.7230769231,2277,0,6579,173,3.4283,0.875848365726866
0,814.9090909091,2343,0,3726,70,4.2778,0.646900108508048
0,838,2324,0,2679,179,4.1089,0.583700921205079
100,790.6703296703,2266,0,829,33,3.9289,0.648003608224469
100,804.40625,2280,0,3980,95,3.8603,0.765902161952897
14.57,859.040201005,2356,0,3992,185,3.3631,0.928746482993462
0,893.7737226277,2353,0,35,0,3.1818,0.396402371667574
5.13,910.358974359,2387,0,2430,375,3.5894,0.494169727468225
100,861.975,2324,0,7423,150,3.5929,0.630652676397701
100,867,2337,0,6550,114,3.8872,0.548728368925582
100,851.7674418605,2317,0,10930,203,3.7742,0.575844095342023
100,836.7837837838,2307,0,7016,118,3.7319,0.568619359702295
100,888.28,2346,0,4676,137,3.7558,0.560264946060307
100,869.7407407407,2333,0,10676,230,3.675,0.552896236056927
100,855.0344827586,2319,0,9333,146,3.6992,0.536314154330984
100,856.3571428571,2325,0,1062,45,3.0694,0.937867633560846
0,794,2351,0,215,21,3.6441,0.524537300543927
100,911.95,2353,0,4910,86,3.9311,0.581233375328473
93.65,791.6825396825,2310,0,5142,343,2.8985,0.87028355008172
100,774.4130434783,2324,0,4506,324,2.8022,0.818085415270308
100,785.9402985075,2341,0,5149,295,2.9643,0.846293940671241
100,763.6393442623,2309,0,3783,326,2.9834,0.755601821212982
100,772.175,2317,0,2337,254,2.8745,0.731347067107387
100,766.375,2285,0,2170,164,2.7856,0.828052157571738
100,761.9622641509,2265,0,3159,259,2.8537,0.80126213958025
100,760.1666666667,2269,0,3555,219,3.0281,0.824391236538268
100,761.6590909091,2277,0,108,6,2.6341,0.92349681897818
100,762.5172413793,2309,0,2752,240,2.8342,0.847149221922477
100,758.4603174603,2291,0,2547,214,2.9343,0.874233729586364
30.22,770.1726618705,2253,0.51,2698,190,2.9454,0.833562909617887
100,759.2058823529,2259,0,2237,109,3.1641,0.881668406717574
100,757.7333333333,2276,0,2173,139,2.9051,0.846153470217303
100,767,2278,0,1395,91,2.8942,0.839519533208928
100,757.0476190476,2280,0,1016,65,3.0328,0.806227331232303
100,755.0625,2269,0,2160,134,2.9032,0.845670020626981
100,760,2253,0,3775,253,2.7839,0.866486525529136
95,771.8166666667,2251,0,3378,169,3.1019,0.900003783787996
100,765.5428571429,2252,0,2132,147,3.0028,0.842248592180127
100,771,2251,0,1312,91,3.109,0.805406447833049
100,782.7333333333,2251,0,2436,131,3.2222,0.830085112756311
100,786.6666666667,2251,0,2397,136,3.0889,0.799305357093788
100,836.5714285714,2286,0,2300,73,3.2033,0.863258890989014
89.36,848.7446808511,2318,0,3181,114,3.2002,0.911533261199315
100,771.6451612903,2253,0,2272,286,2.7407,0.698584154595382
100,777.8823529412,2256,0,1676,84,2.9097,0.643629163957455
97.33,850.2,2332,0,3573,121,3.1342,0.972506356041207
100,827.7547169811,2293,0,6813,207,3.3644,0.775596720130035
100,783.7826086957,2275,0,2300,100,3.0423,0.847319780593337
100,784.8,2282,0,3290,97,3.6273,0.70203442945173
100,782.0476190476,2265,0,2384,118,2.8654,0.858049709616392
100,783.3,2263,0,2313,184,3,0.713321064818869
100,786.9318181818,2267,0,1952,113,3.5817,0.644232427262946
100,784.5729166667,2253,0,1929,92,3.4882,0.661225138916993
100,796.867768595,2253,0,249,7,3.2338,0.625731339938783
100,810.0322580645,2291,0,4973,133,3.622,0.696851846786671
100,795.2592592593,2297,0,6550,155,3.4008,0.716069658330974
100,789.3902439024,2276,0,5903,330,3.0381,0.844561188142221
100,821.5384615385,2294,0,6072,125,3.61,0.644888192412793
100,794.4603174603,2272,0,881,36,3.3885,0.631367531246424
100,792.2686567164,2264,0,1969,86,3.0862,0.759709224219191
100,797.2580645161,2272,0,6112,213,3.4747,0.642266718306565
100,799.4705882353,2275,0,3820,124,3.4353,0.779602320808506
100,829.1363636364,2294,0,7029,152,3.5917,0.584346974822736
100,836.5769230769,2305,0,7240,113,3.5931,0.605460033710214
100,849,2324,0,7617,125,3.8296,0.547942747729568
80,838.96,2299,0,5656,193,3.298,0.597250741434777
100,846.125,2299,0,3017,52,3.7902,0.669857205688523
100,850.0769230769,2308,0,4933,92,3.6677,0.657653825660144
100,889,2378,0,3229,79,3.9235,0.614559551000461
100,871.8571428571,2372,0,4165,111,3.7692,0.610715114328586
100,859,2341,0,3411,145,3.9027,0.628233221331045
100,857.08,2315,0,569,21,4.0935,0.623729871953164
100,834.6774193548,2308,0,1413,31,3.9803,0.684391024392569
100,868.4,2359,0,6237,112,3.5907,0.569810169019982
100,856.6842105263,2332,0,5037,66,3.9568,0.623671455886778
100,833.0714285714,2306,0,2674,54,3.8364,0.64330237987562
100,856.3846153846,2313,0,6209,110,3.8758,0.554940743548053
100,851,2309,0,4998,91,3.7105,0.612259209786419
100,837.5384615385,2319,0,6704,159,3.5641,0.614706351248609
100,897.5,2456,0,4091,93,3.7395,0.604628847496245
100,906.2307692308,2455,0,2961,46,3.8909,0.564702252002739
100,904,2436,0,4515,64,3.8005,0.539348260728139
100,895.6666666667,2339,0,4214,103,3.8484,0.59761458980098
100,870.4375,2324,0,3151,49,3.7873,0.569826773488088
100,880,2357,0,3641,45,3.9749,0.592415338011707
100,885.2777777778,2353,0,3588,34,3.9299,0.551749300965562
100,913.875,2360,0,3202,124,3.2909,0.62449351750206
100,930.7272727273,2376,0,4924,142,3.5222,0.594143468564664
94.12,941,2384,0,3828,100,3.9141,0.579319049379139
100,941.5238095238,2392,0,4360,151,3.6516,0.609277100839932
73.68,923.6315789474,2374,0,3317,62,3.9964,0.582854324415037
100,917.5882352941,2401,0,5620,113,3.9055,0.58116529622696
100,910.3,2390,0,6270,102,3.9261,0.543428989759746
100,883,2356,0,5321,22,3.8925,0.538958440296463
100,882.6,2338,0,4341,92,3.845,0.539041050652012
100,883,2341,0,4886,84,3.4628,0.535967763523764
100,833.6571428571,2297,0,6767,75,3.7407,0.60348464865074
100,831.4375,2304,0,10519,376,3.4108,0.575458169702709
100,825.1428571429,2308,0,5152,161,3.3962,0.618799156119277
100,835.6315789474,2287,0,4781,48,3.4974,0.704509573951129
30,855.4,2312,0,3871,129,3.9703,0.607545150654111
100,836.92,2319,0,5513,124,4.1514,0.620219482103971
100,853.8571428571,2347,0,4084,106,3.5793,0.756203160784096
100,805.35,2282,0,4681,141,3.5011,0.646229352286624
100,812,2291,0,5380,111,3.6059,0.655572413547961
65,818.3625,2355,0,4154,292,2.6697,0.881650892137927
100,772.4736842105,2300,0,6942,241,3.5876,0.664736249632655
100,890.4117647059,2419,0,4990,117,3.6503,0.564276190953869
100,888.6,2380,0,5194,90,3.9348,0.60214643400888
100,891,2334,0,4808,82,3.8994,0.557905484099415
26.67,882.7,2340,0,2413,91,4.1107,0.51005550088984
100,889,2392,0,2883,51,4.0322,0.60029636369587
26.92,901.4615384615,2402,0,3738,119,3.753,0.591487059406177
100,889.2857142857,2331,0,3519,83,3.7278,0.588640777379939
100,899,2340,0,3036,49,3.9531,0.575261327151821
100,899,2343,0,3290,135,3.6194,0.54721671207266
63.16,778.3157894737,2370,0,5721,149,3.6862,0.539752092413404
100,768,2336,0,4903,44,3.9765,0.615481661003455
81.08,773.7567567568,2299,0,3166,113,3.4791,0.681494654006268
100,882,2339,0,6131,85,3.9126,0.595579887504498
100,867.4285714286,2323,0,5054,74,3.8317,0.610848927222385
100,882,2346,0,3477,65,3.8167,0.612688436869999
100,899,2345,0,3210,107,3.6108,0.730300122922004
100,933.7058823529,2379,0,3405,123,3.6301,0.768070529397618
100,820.3333333333,2279,0,5432,71,3.5808,0.634319207382404
100,828.7857142857,2298,0,8002,169,3.7012,0.594103498533578
100,822.4761904762,2285,0,6801,245,3.3208,0.548004728029283
100,829,2291,0,5179,126,3.6783,0.553990100638297
100,906.7222222222,2350,0,3370,85,3.679,0.754342682813478
100,919.1333333333,2372,0,3271,64,3.6877,0.764837447734683
95.65,909.8260869565,2377,0,5123,165,3.5017,0.642116418398422
100,918.5217391304,2368,0,5955,126,3.6378,0.65466880496394
100,885.5135135135,2377,0,1800,56,3.0354,0.923949160972292
100,863.7307692308,2352,0,3562,189,2.7212,0.887754969024324
73.68,925.9473684211,2397,0,3668,92,3.9826,0.600405911010448
100,927,2403,0,3438,94,3.5664,0.621098546326902
71.43,938.7857142857,2395,0,4271,341,3.6442,0.566481496778715
100,855.9230769231,2308,0,6913,64,3.5181,0.574782171496303
100,847.9761904762,2296,0,5726,145,3.5433,0.710990645239785
38.71,872.3548387097,2313,0,3857,209,3.1797,0.743764774954513
100,862.7272727273,2348,0,4670,149,3.3357,0.722650593828525
100,893.3333333333,2361,0,3470,61,3.8258,0.631947330770043
100,894.4666666667,2383,0,4014,60,3.6725,0.624274746228409
100,892.1428571429,2360,0,4872,70,3.7305,0.644053895912436
100,866.9090909091,2400,0,2542,50,3.8226,0.723638405272544
55.56,856.2962962963,2398,0,2307,63,3.7391,0.728342129789934
100,888.2222222222,2335,0,6366,80,4.0189,0.581580953384695
3.33,948.8333333333,2422,0.003,1118,54,3.9786,0.538987905075876
100,810,2297,0,1471,11,4.1909,0.860697933792031
100,807.3333333333,2303,0,949,20,4.1441,0.827584722395082
100,814.25,2307,0,2097,24,4.4428,0.854189903258875
100,821,2307,0,1235,9,4.3031,0.870926318292765
100,812,2301,0,938,18,4.2636,0.757514408130501
100,815,2319,0,1003,28,4.012,0.784472594450409
64.04,831.6403846154,2285,0,3471,59,7.3383,0.644078921785921
0,816.3333333333,2358,0,0,0,0,0
0,825.25,2414,0,1306,200,2.073,0.799555136579499
0,825.8333333333,2420,0,1798,83,2.8449,0.92500115556031
0,829.28,2382,0,1933,151,2.4072,0.876848977715654
100,866,2322,0,2680,57,3.9354,0.56594272207873
100,864,2319,0,2329,36,3.9812,0.623893238413327
100,864,2314,0,3681,63,3.8264,0.540361804283196
0,845.2,2397,0,518,39,2.3125,0.899911092532529
100,884,2360,0,1990,16,3.9641,0.61129885692637
58.97,858.0769230769,2309,0,393,56,2.3675,0.737692233006424
12,832.24,2397,0,114,11,2.4255,0.84498172144307
5.56,853,2401,0,215,23,3.2576,0.635681108381071
61.76,916.0588235294,2384,0,4454,169,3.7555,0.564707302704993
100,909.4,2420,0,5007,138,3.9178,0.514600185741915
100,849.6956521739,2317,0,710,25,3.5678,0.926123101452837
0,835.6888888889,2399,0,346,107,1.8907,0.781129458808527
1.45,1091.0724637681,2705,0,3691,142,4.0251,0.554264502497492
0,1102.0285714286,2786,0.145,5262,207,4.0415,0.521403758945271
0.75,1095.5895522388,2591,0.166,3864,90,4.1593,0.505253844343859
1.65,940.5454545455,2379,0,4349,471,3.6825,0.523617380532669
100,621.875,2236,23.619,5374,248,3.2103,0.835737484530086
100,610.4782608696,2236,27.531,3736,174,3.0276,0.838275339746297
100,605.3529411765,2235,27.639,2920,135,3.1982,0.782763486488875
100,624.1176470588,2227,23.054,5336,208,3.6005,0.779807577669236
100,622.3333333333,2227,23.169,4508,105,3.6621,0.629350292510723
100,620.6666666667,2238,24.291,4700,109,3.5552,0.688561717700376
100,617.0833333333,2236,25.194,3991,86,3.716,0.677957476042745
100,614.3870967742,2234,25.887,6889,111,3.497,0.662936670059664
100,612.925,2232,27.505,6716,255,3.423,0.639296917740333
100,609.0322580645,2231,28.087,7654,310,3.4185,0.672746762924118
100,608.4,2230,28.743,8055,244,3.4946,0.667394250915093
100,620,2232,24.571,3418,81,3.7152,0.687222648949382
100,615.5454545455,2230,26.703,3506,105,3.5378,0.720860467795845
100,617.4390243902,2225,26.577,8840,190,3.5488,0.640966774820242
100,617.3939393939,2224,27.135,5100,97,3.8117,0.678327931489842
100,615.9285714286,2224,27.425,4785,280,3.1152,0.867948581452274
100,615.40625,2225,27.476,4045,174,3.2542,0.881682776955098
100,614.6086956522,2225,28.479,5341,103,3.4659,0.650459685575044
82.86,647.1428571429,2232,28.468,7341,118,3.7665,0.63760008667889
87.1,642.5806451613,2232,29.239,7236,90,3.8924,0.624693745425545
100,655,2235,29.214,5052,55,3.8832,0.59495530736007
100,655.6666666667,2236,29.321,5593,105,3.9003,0.595814142946499
100,657.2727272727,2236,29.44,5028,78,3.844,0.619405480572617
100,659.625,2237,29.36,5638,51,3.5549,0.615183007564042
100,665.1290322581,2237,29.099,6637,44,3.6608,0.608300914417503
100,661.1333333333,2237,29.197,7165,112,3.7493,0.598534858115068
100,674.0344827586,2238,29.284,5919,165,3.836,0.579251023854247
100,693.8387096774,2224,27.334,5625,123,3.8793,0.66815037035073
100,692.5357142857,2224,27.842,5627,95,3.7339,0.663969923428397
100,691.6666666667,2225,27.862,4488,80,3.7245,0.644960508008098
100,691.2592592593,2228,28.169,5971,126,3.6835,0.650509990951856
100,690.3793103448,2231,28.308,5259,103,3.6244,0.646298672485903
100,687.7878787879,2235,28.437,6095,92,3.8165,0.650899383137883
100,689.3043478261,2238,28.714,5092,93,3.7441,0.647854504014283
100,686.12,2240,28.944,4176,69,3.9322,0.655020313281249
84.62,681,2243,29.123,5280,136,3.8068,0.61892612796179
94.12,665.2352941176,2241,29.724,8200,115,3.7718,0.660560044694064
89.8,587.306122449,2241,30.846,9191,181,3.5846,0.693751198282762
100,578.3076923077,2244,29.212,9319,193,3.565,0.677116753600884
88,574.1,2242,26.908,10177,190,3.6687,0.627091488739034
93.55,571.8064516129,2238,24.521,7861,114,3.8743,0.608362869182012
97.06,571.8235294118,2229,20.898,6229,85,3.8098,0.613290067649738
100,682.0434782609,2243,30.035,6070,97,3.7725,0.656083005462352
100,678.8947368421,2246,30.802,8211,158,3.7103,0.653294599392634
100,576.06,2244,27.607,9883,223,3.5912,0.667408478290425
100,573.3333333333,2237,22.931,8318,168,3.645,0.638168402323106
100,573.1935483871,2237,18.631,7213,152,3.6914,0.583854756989143
100,697,2242,30.22,5446,109,3.7327,0.655955087545157
100,684.9032258065,2249,31.367,8426,97,3.6086,0.664375148309216
100,683.0769230769,2253,32.083,6086,91,3.6443,0.69272180025038
100,664.2962962963,2255,32.683,6283,71,3.6487,0.71174392879797
100,631.0909090909,2255,33.332,7505,198,3.6735,0.697974938165485
100,585.84,2255,33.539,7283,132,3.8372,0.694621177920814
100,580.064516129,2251,31.776,8854,114,3.7693,0.687732460835148
100,578.8636363636,2248,31.975,9472,117,3.9028,0.664733837972184
100,575.0285714286,2240,25.977,9142,181,3.7253,0.641306069603837
100,574.2727272727,2236,22.092,6654,99,3.6085,0.639185159234945
100,574,2239,21.183,6356,68,3.7811,0.610682936107183
100,705.2857142857,2224,26.857,6707,116,3.6872,0.653062149482286
100,716.4285714286,2224,27.674,5283,140,3.6235,0.655052873680888
100,719.6296296296,2227,28.32,5859,164,3.5402,0.636738410606863
100,723.8965517241,2229,28.789,8061,182,3.6624,0.618655979604973
100,724.9142857143,2232,29.32,9416,173,3.6229,0.66079344274945
100,719.6216216216,2237,29.569,9785,241,3.7248,0.655871471301896
100,697.3428571429,2245,30.876,8249,204,3.7124,0.651261511126134
100,687.5483870968,2252,31.402,8036,247,3.537,0.645400554647728
100,723.8125,2238,30.132,6915,158,3.7746,0.680468655748182
100,692.65625,2248,31.218,8255,182,3.7336,0.673607345830783
100,582.487804878,2248,33.973,11125,182,3.8402,0.657045006456599
100,577.7575757576,2241,29.251,7618,125,3.8631,0.659566086844717
100,576.8181818182,2235,26.058,7347,209,3.7427,0.603464171535891
100,575.1739130435,2235,25.225,6185,112,3.8321,0.627675611160591
100,576.2142857143,2235,23.903,7617,127,3.7801,0.645111882422886
100,576.5862068966,2234,22.244,7721,108,3.7408,0.631776714425301
100,576.8333333333,2234,19.154,7760,85,3.7743,0.601135597417078
100,579.8333333333,2241,31.879,10245,130,3.8457,0.639594151196056
100,577.5,2234,28.657,8326,106,3.9144,0.656639423510721
100,577.1515151515,2233,25.993,9748,181,3.7263,0.62068069372275
100,577.8461538462,2232,24.284,7080,80,3.8858,0.643913913855858
100,731,2225,26.789,4472,145,3.6358,0.675559482494538
100,734.55,2227,28.638,5952,159,3.6605,0.686497092305914
100,737.7419354839,2232,29.611,7254,145,3.6897,0.652872470820351
100,730.9411764706,2236,29.969,7979,257,3.6023,0.6786101351676
100,723.3076923077,2241,29.611,5851,125,3.6799,0.695452530268674
100,697.4,2242,30.427,7931,180,3.5062,0.664852036479188
100,694.6538461538,2243,31.091,5458,112,3.8437,0.69204861041728
100,691.3225806452,2244,31.985,6771,120,3.8104,0.677936327075266
100,685.2222222222,2244,33.276,7026,130,3.7734,0.69050979651829
100,682.6764705882,2244,34.064,6885,111,3.7297,0.67843012622719
100,629.2857142857,2243,35.026,8611,140,3.7005,0.674848651723582
100,583.4857142857,2244,34.771,8037,140,3.7399,0.635067333462458
100,581.6129032258,2239,34.257,6693,94,3.8621,0.658423613917149
100,581.8518518519,2237,32.559,4595,77,3.842,0.656184115081845
100,580.4074074074,2235,30.597,4125,96,3.628,0.674587061502952
100,578.4545454545,2234,29.127,5361,110,3.586,0.68540346646914
100,579.0526315789,2233,28.949,4672,101,3.6586,0.689702580899632
100,579.1764705882,2232,27.827,4622,96,3.8971,0.699538733628204
100,579.0588235294,2231,27.319,4621,102,3.63,0.710073501105535
100,578.84,2231,26.81,5209,93,3.8873,0.714732736132878
100,579,2230,27.024,5948,122,3.6401,0.682462596706672
100,579.8181818182,2229,26.445,4616,106,3.6519,0.653896553166626
100,580.6842105263,2228,23.175,5233,50,3.8936,0.664932889953943
100,581,2226,21.009,5292,143,3.4793,0.684790160720801
100,581,2226,22.514,5525,143,3.6373,0.6640898897357
100,580.6315789474,2226,18.873,5138,102,3.8286,0.656237682383003
100,735.9259259259,2225,26.314,7037,167,3.667,0.665625916040055
100,739.0666666667,2228,27.922,3333,78,3.5457,0.667301765389926
100,586.3157894737,2239,35.164,9535,162,3.8588,0.657395917518429
100,739.8620689655,2225,25.719,8373,183,3.4485,0.646238848375288
100,739.3888888889,2230,26.055,5318,110,3.4288,0.696358535978613
100,738.7777777778,2231,26.327,6396,189,3.6362,0.695217698015128
100,738.5652173913,2233,27.345,5351,167,3.5181,0.652489423458987
100,729.9090909091,2233,26.995,6986,253,3.5265,0.676624836654362
100,713.4615384615,2233,27.89,6362,193,3.5364,0.668996950361346
100,709.7096774194,2233,28.254,7082,128,3.5642,0.733021352328889
100,679.6206896552,2232,28.713,7859,129,3.6367,0.734628075632971
100,662.0277777778,2230,30.098,7779,206,3.4284,0.734314498193157
100,652.5609756098,2230,31.846,9292,159,3.6411,0.726504734812415
100,636.7419354839,2233,32.606,7360,131,3.5556,0.731716116679128
100,628.1176470588,2236,33.302,8321,156,3.5154,0.716263562555828
100,601.2432432432,2238,33.805,8230,138,3.8876,0.699298497842471
100,583.9655172414,2236,33.371,5617,65,3.7248,0.663141957201988
100,583.6,2234,32.223,6828,128,3.5805,0.643631933326349
100,583.6666666667,2234,32.522,4772,79,3.6764,0.643669662000598
100,583.8823529412,2234,32.954,4269,95,3.5724,0.641157898387202
100,582.9189189189,2233,33.254,9258,162,3.5458,0.657448728039881
100,583.4666666667,2233,34.113,8182,107,3.8576,0.635950006520864
100,581.4375,2232,33.545,6191,78,3.8406,0.650618767705216
100,581.7083333333,2233,34.19,5982,152,3.5565,0.63620747553691
100,582.1764705882,2232,33.802,7802,123,3.6959,0.622642542068198
100,583,2232,32.788,6543,172,3.7453,0.631909067767245
100,583.064516129,2232,31.206,6679,136,3.6678,0.629083046432768
100,583.5,2230,26.753,6807,184,3.5789,0.627593768222005
100,583.4193548387,2229,21.253,6291,183,3.468,0.64959375996609
100,583.1481481481,2228,18.58,6044,152,3.7564,0.68991480229786
100,583.0454545455,2226,19.032,6440,119,3.7727,0.668036107794341
100,582.0952380952,2225,21.336,4354,86,3.6405,0.629945513284245
100,740.4642857143,2226,24.619,6552,195,3.5435,0.623593019955537
100,740.5833333333,2228,25.378,5502,144,3.6877,0.695937696929856
100,596.6578947368,2238,31.214,10152,182,3.7923,0.716376854189942
100,586,2235,30.614,7278,134,3.7906,0.654937472334465
100,607.5081967213,2226,28.154,5004,303,3.1373,0.867917499706018
100,611.2,2225,28.05,8812,388,3.2421,0.854783230334248
100,611.7741935484,2225,29.264,7827,212,3.627,0.584942090110261
100,574.325,2229,22.573,7016,327,3.4392,0.772485012090777
100,577.8148148148,2230,19.897,2476,97,3.7975,0.727795187290647
100,579,2229,24.41,9412,133,3.783,0.628310958821456
100,579.72,2228,22.471,5374,85,3.8858,0.648011347687762
100,580.1041666667,2227,19.776,8292,250,3.958,0.609555570637592
33.33,606,2225,30.082,550,9,4.4355,0.621985659592888
100,611.375,2225,29.358,5861,194,3.7284,0.612570010536782
100,612.5,2225,29.044,2851,64,3.386,0.63238293793922
100,612.9310344828,2226,27.685,4245,193,3.3906,0.865063362488139
100,615.3103448276,2225,27.841,4000,171,3.4483,0.865812714379868
100,624.4705882353,2230,21.622,3772,137,3.1939,0.829751181398743
100,623.6,2233,22.398,3830,175,3.1549,0.82969021223496
100,616.9130434783,2237,24.072,3232,144,3.1717,0.825333635479644
100,617.2,2239,24.857,2608,109,3.3265,0.829176851216351
100,601.84,2231,26.638,7014,346,3.2992,0.847435545453465
100,603.6607142857,2230,27.874,13647,485,3.501,0.748985341164288
100,617.347826087,2225,27.713,3977,162,3.6961,0.655633292462346
76.92,616.1153846154,2226,26.926,2701,73,3.6798,0.622440567266653
73.68,602.0526315789,2228,26.198,3972,215,3.8192,0.64329995648902
100,615.7857142857,2240,25.605,2821,144,3.0366,0.803783095302983
100,616,2239,25.833,2618,166,3.1353,0.797706603944387
100,611.2631578947,2238,26.768,2518,113,2.9834,0.829893445924904
100,612.4375,2237,27.065,1758,75,3.0842,0.844256536319139
100,571,2231,24.568,6,0,6,0
100,610.3461538462,2225,27.979,4825,309,3.1557,0.829105250324232
100,608.4375,2226,27.488,4681,202,3.4881,0.794331779189274
100,579,2230,19.613,2807,29,3.8878,0.602913344217753
100,578.7272727273,2232,20.104,4370,59,3.9369,0.600466879088385
100,605.8,2226,28.842,3307,274,4.1441,0.588685654580529
100,606,2225,29.296,4318,82,4.172,0.642204614625741
100,569.3888888889,2237,29.212,4021,96,3.8775,0.442004688219119
100,569.75,2231,27.715,3940,61,3.878,0.494796063899557
100,577,2229,8.076,3942,96,3.8087,0.65840593003263
100,577.652173913,2229,10.089,4493,103,3.8076,0.571147826186964
42.06,621.761682243,2239,0,3819,160,3.6302,0.507901155514575
89.62,623.4150943396,2237,0,3266,132,3.5772,0.547277853944177
79.71,624.3043478261,2239,0,1941,80,3.6692,0.58191059744383
58.45,627.2746478873,2230,0,2243,70,3.8017,0.572625766473161
82.14,627.0119047619,2235,0,1436,59,3.7299,0.601138411439666
69.23,625.2417582418,2234,0,1713,67,3.7402,0.580478074912702
0,624.5,2233,0,366,13,4.0667,0.410315636843318
10,624,2234,0,87,8,3.2222,0
1.45,621.1449275362,2237,0,1910,93,3.8508,0.558497542963607
0,622.3692307692,2236,0,1771,185,4.0619,0.453648405081404
2.56,633.4102564103,2238,0,2929,1593,1.2004,0.652999279005858
0,634.8837209302,2238,0,2084,1524,0.9849,0.607424933870072
94.63,746.7651006711,2332,0.299,11277,660,3.7478,0.573923926577528
11.41,794.5167785235,2358,0.062,6589,377,3.6892,0.56801668017047
57.33,725.3866666667,2300,0.193,5526,220,3.5086,0.625960013300184
100,748.5,2331,0,6290,184,3.6108,0.681021179750533
100,783.2692307692,2336,0,9558,278,3.6861,0.615572414671094
100,765.0375,2346,0.011,6101,573,2.7594,0.784937483771234
72.41,799.245210728,2376,0,12363,602,3.7441,0.613988753700669
20.44,751.7591240876,2325,0.125,6045,698,3.4962,0.479780470741212
65.71,812.3428571429,2402,0,2754,100,3.9399,0.571039825573104
26.53,729.2448979592,2289,0.106,6916,387,3.5214,0.655102785438936
100,763.3137254902,2356,0.262,3338,151,3.5777,0.659518878625367
100,749.8125,2339,0.231,6052,175,3.6458,0.632704675785762
100,734.5897435897,2310,0.175,5992,243,3.7333,0.596865488287878
50,728.4615384615,2317,0.149,3197,82,3.806,0.649813697245536
100,733.1621621622,2334,0.137,4486,272,3.2649,0.640569979152808
60.61,726.1818181818,2316,0.248,5103,324,3.5388,0.627781694169573
100,731.0810810811,2308,0.156,3081,67,3.721,0.71012045031535
100,769.6666666667,2367,0,3002,42,3.63,0.623947802146189
100,766.4285714286,2361,0,8044,474,3.1166,0.743451483297869
100,777.9189189189,2385,0,5609,128,3.6926,0.661131105175741
77.65,732.3764705882,2312,0.351,4642,409,3.2462,0.559394301147578
100,742.2340425532,2310,0.019,7312,174,3.7847,0.620399506842996
100,761.0465116279,2333,0,6062,170,3.5347,0.661919315436237
26.76,782.0281690141,2333,0.166,3657,161,3.8822,0.588122741467538
71.43,770,2327,0.075,4419,127,3.7103,0.642145247188174
100,753.5263157895,2325,0.177,4540,156,3.5833,0.718873303965036
87.01,756.7142857143,2320,0.22,5039,155,3.5788,0.661405665745302
100,776.1129032258,2319,0,6068,160,3.6357,0.672892134289585
79.73,806.6081081081,2353,0,7285,321,3.8853,0.562923007227064
1.64,796.4918032787,2358,0.14,6145,236,3.7979,0.537680087435934
97.53,768.9382716049,2359,0.089,4878,190,3.6403,0.72659898097892
95.83,766.9861111111,2347,0.2,4951,185,3.7003,0.632967209149558
100,773.5641025641,2366,0,5801,219,3.6143,0.64557661092739
100,773.8088235294,2358,0.094,5039,246,3.6514,0.625187518936647
100,764.7317073171,2365,0.189,4173,157,3.6799,0.665088194344748
22.22,807.4444444444,2407,0,844,36,3.6856,0.684821337269878
25,811,2402,0,935,33,4.083,0.552554252038393
0,807.4285714286,2390,0.267,133,9,4.5862,0.484938377702253
87.5,780.65625,2335,0,6106,270,3.7483,0.63420972487298
85.71,808.6428571429,2388,0,1446,231,2.5192,0.624043455069416
39.13,793.7826086957,2371,0,2077,101,3.5144,0.644407826098682
90,782.425,2374,0.161,3889,165,3.5005,0.566446992537493
96.77,762.4677419355,2362,0.164,2939,290,3.683,0.541819872447294
7.61,801.7065217391,2376,0.003,5710,193,3.9874,0.570960878972055
